type,latitude,longitude,altitude (m),name
T,12.919695812,77.642884681,879.0,
T,12.919703849,77.642890945,879.0,
T,12.919711887,77.642897209,879.0,
T,12.919719925,77.642903472,879.0,
T,12.919727962,77.642909736,879.0,
T,12.919736000,77.642916000,879.0,
T,12.918124750,77.641688250,878.5,
T,12.918132834,77.641694520,878.5,
T,12.918140918,77.641700790,878.5,
T,12.918149003,77.641707060,878.5,
T,12.918157087,77.641713330,878.5,
T,12.918165171,77.641719601,878.5,
T,12.918173255,77.641725871,878.5,
T,12.918181339,77.641732141,878.5,
T,12.918189423,77.641738411,878.5,
T,12.918197508,77.641744681,878.5,
T,12.918205592,77.641750951,878.5,
T,12.918213676,77.641757221,878.5,
T,12.918221760,77.641763491,878.5,
T,12.918229844,77.641769761,878.5,
T,12.918237928,77.641776031,878.5,
T,12.918246013,77.641782302,878.5,
T,12.918254097,77.641788572,878.5,
T,12.918262181,77.641794842,878.5,
T,12.918270265,77.641801112,878.5,
T,12.918278349,77.641807382,878.4,
T,12.918286433,77.641813652,878.4,
T,12.918294518,77.641819922,878.4,
T,12.918302602,77.641826192,878.4,
T,12.918310686,77.641832462,878.4,
T,12.918318770,77.641838732,878.4,
T,12.918326854,77.641845003,878.4,
T,12.918334938,77.641851273,878.4,
T,12.918343023,77.641857543,878.4,
T,12.918351107,77.641863813,878.4,
T,12.918359191,77.641870083,878.4,
T,12.918367275,77.641876353,878.4,
T,12.918375359,77.641882623,878.4,
T,12.918383443,77.641888893,878.4,
T,12.918391528,77.641895163,878.4,
T,12.918399612,77.641901433,878.4,
T,12.918407696,77.641907704,878.4,
T,12.918415780,77.641913974,878.4,
T,12.918423864,77.641920244,878.4,
T,12.918431948,77.641926514,878.4,
T,12.918440033,77.641932784,878.4,
T,12.918448117,77.641939054,878.4,
T,12.918456201,77.641945324,878.4,
T,12.918464285,77.641951594,878.4,
T,12.918472369,77.641957864,878.4,
T,12.918480454,77.641964134,878.4,
T,12.918488538,77.641970405,878.4,
T,12.918496622,77.641976675,878.4,
T,12.918504706,77.641982945,878.3,
T,12.918512790,77.641989215,878.3,
T,12.918520874,77.641995485,878.3,
T,12.918528959,77.642001755,878.3,
T,12.918537043,77.642008025,878.3,
T,12.918545127,77.642014295,878.3,
T,12.918553211,77.642020565,878.3,
T,12.918561295,77.642026835,878.3,
T,12.918569379,77.642033106,878.3,
T,12.918577464,77.642039376,878.3,
T,12.918585548,77.642045646,878.3,
T,12.918593632,77.642051916,878.3,
T,12.918601716,77.642058186,878.3,
T,12.918609800,77.642064456,878.3,
T,12.918617884,77.642070726,878.3,
T,12.918625969,77.642076996,878.3,
T,12.918634053,77.642083266,878.3,
T,12.918642137,77.642089536,878.3,
T,12.918650221,77.642095807,878.3,
T,12.918658305,77.642102077,878.3,
T,12.918666389,77.642108347,878.3,
T,12.918674474,77.642114617,878.3,
T,12.918682558,77.642120887,878.3,
T,12.918690642,77.642127157,878.2,
T,12.918698726,77.642133427,878.2,
T,12.918706810,77.642139697,878.2,
T,12.918714894,77.642145967,878.2,
T,12.918722979,77.642152237,878.2,
T,12.918731063,77.642158508,878.2,
T,12.918739147,77.642164778,878.2,
T,12.918747231,77.642171048,878.2,
T,12.918755315,77.642177318,878.2,
T,12.918763399,77.642183588,878.2,
T,12.918771484,77.642189858,878.2,
T,12.918779568,77.642196128,878.2,
T,12.918787652,77.642202398,878.2,
T,12.918795736,77.642208668,878.2,
T,12.918803820,77.642214938,878.2,
T,12.918811905,77.642221209,878.2,
T,12.918819989,77.642227479,878.2,
T,12.918828073,77.642233749,878.2,
T,12.918836157,77.642240019,878.2,
T,12.918844241,77.642246289,878.2,
T,12.918852325,77.642252559,878.2,
T,12.918860410,77.642258829,878.2,
T,12.918868494,77.642265099,878.2,
T,12.918876578,77.642271369,878.1,
T,12.918884662,77.642277639,878.1,
T,12.918892746,77.642283910,878.1,
T,12.918900830,77.642290180,878.1,
T,12.918908915,77.642296450,878.1,
T,12.918916999,77.642302720,878.1,
T,12.918925083,77.642308990,878.1,
T,12.918933167,77.642315260,878.1,
T,12.918941251,77.642321530,878.1,
T,12.918949335,77.642327800,878.1,
T,12.918957420,77.642334070,878.1,
T,12.918965504,77.642340340,878.1,
T,12.918973588,77.642346611,878.1,
T,12.918981672,77.642352881,878.1,
T,12.918989756,77.642359151,878.1,
T,12.918997840,77.642365421,878.1,
T,12.919005925,77.642371691,878.1,
T,12.919014009,77.642377961,878.1,
T,12.919022093,77.642384231,878.1,
T,12.919030177,77.642390501,878.1,
T,12.919038261,77.642396771,878.1,
T,12.919046345,77.642403041,878.1,
T,12.919054430,77.642409312,878.1,
T,12.919062514,77.642415582,878.0,
T,12.919070598,77.642421852,878.0,
T,12.919078682,77.642428122,878.0,
T,12.919086766,77.642434392,878.0,
T,12.919094851,77.642440662,878.0,
T,12.919102935,77.642446932,878.0,
T,12.919111019,77.642453202,878.0,
T,12.919119103,77.642459472,878.0,
T,12.919127187,77.642465742,878.0,
T,12.919135271,77.642472013,878.0,
T,12.919143356,77.642478283,878.0,
T,12.919151440,77.642484553,878.0,
T,12.919159524,77.642490823,878.0,
T,12.919167608,77.642497093,878.0,
T,12.919175692,77.642503363,878.0,
T,12.919183776,77.642509633,878.0,
